GermplasmId,Fill column,Flower,Pub_Lt_to_T,Pub_1
E09090,x,P,G,G
E09107,x,P,T,T
E09109,x,P,T,T
E09110,x,P,T,T
E10174,x,W,G,G
E10254LL,x,P,T,T
E10265LL,x,W,T,T
E11095,x,P,T,T
E11399,x,P,T,T
E11401,x,P,T,T
E11431,x,P,T,T
E12020,x,P,T,T
E12034,x,P,T,T
E12042,x,W,NA,NA
E12084,x,W,T,T
E13100,x,W,G,G
E13126,x,P,T,T
E13132,x,P,T,T
E13139,x,W,T,T
E13212,x,P,G,G
E13268,x,P,NA,NA
E13298,x,P,NA,NA
E13304,x,W,T,T
E13345,x,P,NA,NA
E13364,x,P,G,G
E13369,x,H,G,G
E13370,x,NA,NA,NA
E13901,x,W,T,T
E13902,x,H,G,G
E13903,x,H,H,H
E14077,x,P,NA,NA
E14141,x,W,T,T
E14143,x,H,T,T
E14148,x,P,G,G
E14208,x,P,T,T
E14273,x,P,G,G
E14309,x,W,G,G
E14314,x,W,G,G
E14703,x,W,G,G
E15097,x,P,G,G
E15325,x,P,G,G
E15337,x,P,G,G
E15338,x,P,G,G
E15339,x,W,G,G
E15347,x,W,G,G
E15349,x,P,G,G
E15350,x,H,G,G
E15351,x,W,G,G
E15390,x,P,G,G
HC01-289,x,P,T,T
HM09-W053,x,W,T,Lt
HM09-W054,x,P,G,G
HM09-W084,x,W,NA,NA
HM09-W174,x,P,G,G
HM10-A012,x,W,T,Lt
HM10-W081,x,P,G,G
HM10-W083,x,W,T,Lt
HM10-W314,x,H,H,H
HM10-W346,x,W,T,Lt
HM11-G011,x,P,G,G
HM11-G016,x,P,G,G
HM11-W192,x,P,T,T
HM11-W193,x,P,G,G
HM12-N067,x,W,T,T
HM12-N069,x,P,T,T
HM12-O040,x,P,T,T
HM12-O068,x,W,T,T
HM12-W060,x,W,G,G
HM12-W069,x,W,T,T
HM12-W171,x,P,G,G
HM12-W180,x,P,T,Lt
HM12-W300,x,P,H,H
HM13-R061,x,P,T,T
HM13-R079,x,P,T,T
HM13-R084,x,P,G,G
HM13-S072,x,P,G,G
HM13-T053,x,W,T,T
HM13-W040,x,W,H,H
HM13-W045,x,P,H,H
HM13-W073,x,H,G,G
HM13-W091,x,W,G,G
HM13-W098,x,W,T,T
HM13-W128,x,P,T,T
HM13-W154,x,P,G,G
HM13-W155,x,P,G,G
HM13-W156,x,P,NA,NA
HM14-C055,x,W,G,G
HR09-706,x,W,G,G
HR09-720,x,W,G,G
HR09-728,x,W,G,G
HR09-730,x,W,G,G
HR09-734,x,W,G,G
HR10-3325,x,P,G,G
HR10-3329,x,P,G,G
HR10-3342,x,W,NA,NA
HR10-3349,x,W,G,G
HR10-3487,x,W,T,T
HR13-102381,x,H,T,T
HR13-102735,x,P,G,G
HS5-3417,x,H,T,Lt
HS6-3705,x,P,T,T
HS6-3890,x,W,T,Lt
HS6-3966,x,W,T,Lt
HS6-3967,x,W,G,G
HS6-3973R,x,W,T,Lt
HS7-4314,x,W,T,Lt
HS7W-190,x,P,T,Lt
HS7W-29,x,P,G,G
HS7W-82,x,W,T,Lt
HS8-3317,x,W,G,G
HS8-3463,x,P,G,G
HS8-3672,x,W,T,Lt
HS8W-106,x,W,T,Lt
HS8W-30,x,W,T,Lt
IA1008,x,W,G,G
IA1021,x,P,T,T
IA1022,x,NA,NA,NA
IA2065,x,P,T,T
IA2068,x,W,G,G
IA2073,x,W,NA,NA
IA2094,x,P,T,T
IA2102,x,W,G,G
IA2109,x,W,T,Lt
IA3023,x,NA,NA,NA
IA3024,x,P,NA,NA
IA3048,x,W,G,G
IA4005,x,W,T,T
JTN-4114,x,W,G,G
JTN-4116,x,P,G,G
JTN-4214,x,P,G,G
K03-2788RR,x,W,T,T
K03-2791RR,x,W,T,T
K03-2801RR,x,W,T,T
K03-2814RR,x,W,T,T
K03-2820RR,x,W,T,T
K03-2839,x,W,T,T
K03-2897,x,P,T,T
K03-3496,x,P,G,G
K03-4142,x,P,T,T
K03-4146,x,P,T,T
K03-4150,x,P,T,T
K03-4156,x,P,T,T
K03-4157,x,P,T,T
K04-2203RR,x,P,G,G
K04-2347RR,x,P,G,G
K04-2460RR,x,W,T,T
K04-2686RR,x,W,G,G
K04-2999RR,x,W,T,T
K04-3072RR,x,P,T,T
K04-3687RR,x,W,T,T
K04-3703RR,x,W,T,Lt
K04-3720RR,x,P,H,H
K04-3737RR,x,P,T,T
K04-3789RR,x,W,T,T
K05-2278RR,x,W,T,T
K05-4624,x,W,G,G
K12-1464,x,P,G,G
K12-1546,x,W,T,T
K12-1575,x,P,T,T
K12-1770,x,W,H,H
K12-1781,x,W,G,G
K12-2094,x,H,T,T
K12-2236,x,H,G,G
K12-2315,x,W,G,G
K12-2333,x,W,NA,NA
K12-2344,x,P,G,G
K13-1156,x,W,T,T
K13-1231,x,W,T,T
K13-1234,x,W,T,T
K13-1289,x,W,G,G
K13-1290,x,W,T,T
K13-1519,x,P,T,T
K13-1523,x,P,T,T
K13-1620,x,W,T,T
K13-1627,x,W,H,H
K14-1269,x,P,T,T
K14-1347,x,W,G,G
K14-1357,x,W,T,T
K14-1358,x,P,T,T
K14-1387,x,P,G,G
K14-1401,x,W,T,T
K14-1468,x,W,G,G
K14-1486,x,P,T,T
K14-1493,x,P,T,T
K15-1008,x,W,T,T
