"GermplasmId_2","GermplasmId","MG","Year"
"SL90_722","SL90_722","MG0",1994
"SL90_728","SL90_728","MG0",1994
"SL90_754","SL90_754","MG0",1994
"SL90_761","SL90_761","MG0",1994
"SL90_776","SL90_776","MG00",1994
"SL90_778","SL90_778","MG0",1994
"SL90_783","SL90_783","MG0",1994
"SL90_794","SL90_794","MG0",1994
"SL91_1763M","SL91_1763M","MG0",1994
"SL91_4554","SL91_4554","MGIII",1994
"SL91_4585","SL91_4585","MGIII",1994
"SL91_4587","SL91_4587","MGIII",1994
"SL91_6675","SL91_6675","MGIII",1994
"SL91_6988","SL91_6988","MGIII",1994
"SL91_7358","SL91_7358","MGIII",1994
"SL92_1153M","SL92_1153M","MGII",1994
"SL92_1174M","SL92_1174M","MGII",1994
"SL92_1205M","SL92_1205M","MGII",1994
"SL92_1225M","SL92_1225M","MGII",1994
"SL92_1227M","SL92_1227M","MGII",1994
"SL92_1233M","SL92_1233M","MG0",1994
"SL92_1272M","SL92_1272M","MG0",1994
"SL92_1323M","SL92_1323M","MG0",1994
"SL92_1357M","SL92_1357M","MG0",1994
"SL92_1401M","SL92_1401M","MG0",1994
"SL92_1461M","SL92_1461M","MG0",1994
"SS91_7138","SS91_7138","MGIV",1994
"Traill_MG0","Traill","MG0",1994
"Troll","Troll","MGIV",1994
"U93_2106","U93_2106","MGII",1994
"U93_2109","U93_2109","MGIII",1994
"U93_2110","U93_2110","MGII",1994
"U93_2116","U93_2116","MGII",1994
"U93_2119","U93_2119","MGII",1994
"U93_2132","U93_2132","MGII",1994
"U93_2133","U93_2133","MGII",1994
"U93_2209","U93_2209","MGII",1994
"U93_2225","U93_2225","MGII",1994
"U93_2312","U93_2312","MGII",1994
"U93_2334","U93_2334","MGII",1994
"U93_2505","U93_2505","MGII",1994
"U93_2508","U93_2508","MGII",1994
"U93_2530","U93_2530","MGII",1994
"U93_2737","U93_2737","MGII",1994
"U93_3116","U93_3116","MGIII",1994
"U93_3122","U93_3122","MGIII",1994
"U93_3204","U93_3204","MGIII",1994
"U93_3228","U93_3228","MGIII",1994
"U93_3323","U93_3323","MGIII",1994
